,Movie,Expected.ROI.pct,Expected.Bgt,ROI.pct,Verdict,Budget,ROI_Cr,pct_ROI,Cast,Genre,Release_Date,Verified.FB.Page,FB.Following,Trailer.Thumbs.Down,Trailer.Thumbs.Up,Youtube.Trailer.hits,Trailer.Date,Days.between.Releases
1,1920 – Evil Returns,162.011,65.16666667,155.556,Super Hit,9,14,155.556,"Aftab Shivdasani,Tia Bajpai,Vidya Malvade",Horror,11/2/2012,NP,39171,351,2772,2325401,10/1/2012,32
2,2 States,111.4891944,41.52777778,188.889,Super Hit,36,68,188.889,"Alia Bhatt,Arjun Kapoor,Ronit Roy",Rom-Com,4/18/2014,Y,3487616,2528,26627,8580840,2/27/2014,50
3,3G,8.888875,47.625,20,Average,5,1,20,"Neil Nitin Mukesh,Sonal Chauhan",Horror,3/15/2013,NP,1002,350,1398,1230118,1/3/2013,71
4,7 Khoon Maaf,49.82464714,38.06071429,26.667,Semi - Hit,15,4,26.667,"Priyanka Chopra,Neil Nitin Mukesh,John Abraham,Irrfan Khan,Naseeruddin Shah",Thriller,2/18/2011,N,32878,33,158,404046,1/24/2011,25
5,Aarakshan,18.34758556,39.85111111,0,Losing,42,0,0,"Amitabh Bachchan,Saif Ali Khan,Manoj Bajpayee,Deepika Padukone,Prateik Babbar",Drama,8/12/2011,NP,10043,31,277,248118,6/24/2011,49
6,Aashiqui 2,235.4860417,30.91666667,608.333,Blockbuster,12,73,608.333,"Shraddha Kapoor,Aditya Roy Kapoor",Romance,4/26/2013,N,2059767,707,5701,3511303,4/13/2013,13
7,Aatma,57.8987619,47.92857143,0,Losing,8,0,0,"Bipasha Basu,Nawazuddin Siddiqui",Horror,3/22/2013,N,98,319,1039,877698,2/11/2013,39
8,Ab Tak Chappan 2 ,83.96804762,35.9047619,133.333,Super Hit,3,4,133.333,"Nana Patekar,Vikram Gokhale,Mohan Agashe,Raj Zutshi,Gul Panag,Ashutosh Rana,Dilip Prabhawalkar",Crime,2/26/2015,NP,1073,1143,1345,659371,2/9/2015,17
9,ABCD – Any Body Can Dance,211.9925714,18.35714286,283.333,Blockbuster,12,34,283.333,"Prabhudeva,Kay Kay Menon",Dance,2/8/2013,Y,3424681,819,10895,4182257,11/27/2012,73
10,Action Jackson,142.6838682,48.18181818,-21.071,Losing,70,-14.75,-21.071,"Ajay Devgn,Sonakshi Sinha,Yami Gautam",Action,12/5/2014,NP,11969,3870,19295,13288387,10/22/2014,44
11,Agent Vinod,26.63248611,49.27777778,-26.667,Losing,60,-16,-26.667,"Saif Ali Khan,Kareena Kapoor Khan",Action,3/23/2012,NP,4534,529,1632,1857597,2/21/2012,31
12,Agneepath,51.5204119,39.47619048,105,Hit,60,63,105,"Hrithik Roshan,Sanjay Dutt,Priyanka Chopra",Drama,1/26/2012,N,1154295,786,8074,6022500,8/28/2011,151
13,Aiyyaa,107.41075,22.25,-50,Flop,16,-8,-50,Rani Mukherjee,Comedy,10/12/2012,NP,3455,145,866,493842,9/8/2012,34
14,Ajab Gazabb Love,-41.667,11,-41.667,Losing,12,-5,-41.667,Jacky Bhagani,Rom-Com,10/26/2012,NP,2936,25,219,187965,8/16/2012,71
15,Alone ,16.40192857,30.92857143,22.222,Semi - Hit,18,4,22.222,"Bipasha Basu,Karan Singh Grover",Horror,12/26/2014,Y,320581,2954,19008,8801439,12/9/2014,17
16,Amit Sahni Ki List ,4.22,27.25,-76.471,Flop,17,-13,-76.471,Vir Das,Rom-Com,7/18/2014,N,64227,54,588,572434,6/14/2014,34
17,Aurangzeb,22.99565,28.03333333,15,Average,20,3,15,"Prithviraj Sukumaran,Arjun Kapoor,Sasha Agha,Rishi Kapoor,Jackie Shroff",Thriller,5/17/2013,N,2250,760,3442,1935263,4/2/2013,45
18,B.A. Pass,9.091,53,9.091,Average,5.5,0.5,9.091,"Shilpa Shukla,Shadab Kamal,Rajesh Sharma,Dibyendu Bhattacharya",Neo Noir,8/2/2013,N,333595,369,897,2303754,7/1/2013,32
19,Baby,52.00726455,42.82142857,27.333,Semi - Hit,75,20.5,27.333,"Akshay Kumar,Taapsee Pannu,Rana Daggubati,Anupam Kher,Kay Kay Menon,Danny Denzongpa",Action / Thriller ,1/23/2015,Y,173242,29267,2432,7976757,12/3/2014,51
20,Badlapur ,135.9897262,36.89285714,104,Hit,25,26,104,"Varun Dhawan,Nawazuddin Siddiqui,Huma Qureshi,Divya Dutta,Radhika Apte,Yami Gautam,Kumud Mishra,Vinay Pathak",Crime ,2/20/2015,N,3575,18976,3231,4554209,12/1/2014,81
21,Badmashiyan,-64.0003,33.8,-66.667,Flop,3,-2,-66.667,"Siddhant Gupta,Suzanna Mukherjee,Karan Mehra,Sharib Hashmi,Gunjan Malhotra",Rom-Com,3/6/2015,N,28718,97,327,1022891,1/28/2015,37
22,Bajatey Raho,63.09678571,14.17857143,-30,Losing,10,-3,-30,"Tusshar Kapoor,Dolly Ahluwalia,Ranvir Shorey,Vinay Pathak",Comedy,7/26/2013,NP,156,77,522,473632,6/17/2013,39
23,Bang Bang,58.01116786,33.69642857,29.286,Semi - Hit,140,41,29.286,"Hrithik Roshan,Katrina Kaif,Danny Denzongpa,Javed Jaffrey,Jimmy Shergill",Action,10/2/2014,NP,171515,1196,9501,15893186,9/25/2014,7
24,Barfi!,58.79113016,45.58730159,200,Super Hit,40,80,200,"Ranbir Kapoor,Priyanka Chopra,Ileana D'Cruz",Comedy / Drama,9/14/2012,NP,378274,1164,10058,4243778,7/2/2012,74
25,Barkhaa,-54.4045,54.4,-85.714,Flop,7,-6,-85.714,"Sara Loren,Taaha Shah,Priyanshu Chatterjee,Shweta Pandit,Puneet Issar",Romance,3/27/2015,N,143,475,1747,1636643,3/5/2015,22
26,Bbuddah Hoga Terra Baap,11.51577778,38.55555556,30,Semi - Hit,10,3,30,Amitabh Bachchan,Comedy ,7/1/2011,NP,165,8,17,23591,6/3/2011,28
27,Besharam,40.14785714,44.42857143,-29.412,Losing,85,-25,-29.412,Ranbir Kapoor,Comedy,10/2/2013,N,61496,8176,10258,5339177,7/30/2013,64
28,Bewakoofiyaan,121.4777143,34.95714286,-36.364,Losing,22,-8,-36.364,"Sonam Kapoor,Ayushmann Khurrana",Rom-Com,3/14/2014,N,995,1069,4765,2851499,2/6/2014,36
29,Bhaag Milkha Bhaag,35.6415,56.5,108,Hit,50,54,108,Farhan Akhtar,Biopic,7/12/2013,N,1121883,471,6016,2558794,6/30/2013,12
30,Bheja Fry 2,177.0760714,24.35714286,700,Blockbuster,1.5,10.5,700,"Vinay Pathak,Kay Kay Menon",Comedy,6/17/2011,NP,2870,32,216,277660,5/7/2011,41
31,Bhoot Returns,20,52,20,Average,5,1,20,Manisha Koirala,Horror,10/12/2012,NP,2071,285,914,927634,9/7/2012,35
32,Bhoothnath Returns,11.51577778,38.55555556,14.706,Average,34,5,14.706,Amitabh Bachchan,Comedy,4/11/2014,N,8826,680,10849,3210815,2/25/2014,45
33,Bittoo Boss,36.17975,49.25,-50,Flop,6,-3,-50,"Pulkit Samrat,Amrita Pathak",Rom-Com,4/13/2012,NP,1428,53,109,108849,2/24/2012,49
34,Blood Money,31.1505,52.25,28.571,Semi - Hit,7,2,28.571,"Kunal Khemu,Amrita Puri",Crime,3/30/2012,NP,39059,17,88,118573,2/24/2012,35
35,Bobby Jasoos,221.3465,35.83333333,-60.714,Flop,28,-17,-60.714,Vidya Balan,Comedy,7/4/2014,Y,58371,1245,4513,3113801,5/27/2014,38
36,Bodyguard,99.56972487,45.28042328,253.846,Super Hit,65,165,253.846,"Salman Khan,Kareena Kapoor Khan,Raj Babbar",Action,8/31/2011,NP,209128,1176,3128,2369398,7/21/2011,41
37,Bol Bachchan,43.90178333,41.75,45.714,Semi - Hit,70,32,45.714,"Abhishek Bachchan,Ajay Devgn",Comedy,7/6/2012,N,313268,748,2605,2772046,5/24/2012,43
38,Bombay Talkies,81.02332875,51.29585538,33.333,Semi - Hit,6,2,33.333,"Rani Mukerji,Randeep Hooda,Saqib Saleem,Vineet Kumar Singh,Nawazuddin Siddiqui,Sadashiv Amrapurkar,Naman Jain,Katrina Kaif,Amitabh Bachchan",Drama,5/3/2013,N,192770,339,2834,1578668,3/25/2013,39
39,Bombay Velvet,-19.4274375,22.66889881,-78.482,Flop,110,-86.33,-78.482,"Ranbir Kapoor,Anushka Sharma,Karan Johar,Kay Kay Menon,Manish Chaudhary,Satyadeep Misra,Siddharth Basu,Vivaan Shah",Action,5/15/2015,N,11233,5585,15218,6118132,3/18/2015,58
40,Boss,76.3915,50.71428571,-10,Losing,60,-6,-10,Akshay Kumar,Action,10/16/2013,N,18840,3476,23653,6813111,8/26/2013,51
41,Bullett Raja,25.13660227,53.77272727,-34,Losing,50,-17,-34,"Sonakshi Sinha,Saif Ali Khan",Action,11/29/2013,N,168096,2146,8123,4064015,9/30/2013,60
42,Byomkesh Bakshi ,45.37422222,25.55555556,40.421,Semi - Hit,19,7.68,40.421,"Sushant Singh Rajput,Anand Tiwari,Swastika Mukherjee,Divya Menon,Meiyang Chang,Neeraj Kabi",Thriller,4/3/2015,Y,99077,818,9357,3029567,1/21/2015,72
43,Chaar Din Ki Chandni,-50,5,-50,Flop,10,-5,-50," Tusshar Kapoor,Kulraj Randhawa",Rom-Com,3/8/2012,NP,906,764,218,178465,12/1/2011,98
44,Chakravyuh,-0.738586607,31.98422619,-20,Losing,20,-4,-20,"Arjun Rampal,Esha Gupta,Manoj Bajpayee,Kabir Bedi,Om Puri,Anjali Patil,Abhay Deol,Sameera Reddy",Crime,10/24/2012,NP,1430,216,3032,1228851,8/16/2012,69
45,Chalo Dilli,107.0008333,43.34920635,80,Semi - Hit,5,4,80,"Lara Dutta,Vinay Pathak,Akshay Kumar",Comedy,4/29/2011,NP,1870,21,187,313408,4/2/2011,27
46,Chashme Baddoor,33.79850833,38.25,60,Semi - Hit,25,15,60,"Ali Zafar,Siddharth,Taapsee Pannu,Divyendu Sharma",Comedy,4/5/2013,N,602137,287,2932,1688641,2/7/2013,57
47,Chennai Express,92.6589,46.5,202.667,Super Hit,75,152,202.667,"Shah Rukh Khan,Deepika Padukone",Comedy,8/9/2013,N,270031,5275,32657,7691139,6/13/2013,57
48,Citylights,73.0349,50.3,14.286,Average,7,1,14.286,"Rajkummar Rao,Patralekha",Drama,5/30/2014,NP,4208,84,1806,1077457,5/1/2014,29
49,Cocktail,41.11191667,53.93333333,16.923,Average,65,11,16.923,"Deepika Padukone,Diana Penty,Saif Ali Khan",Drama,7/13/2012,NP,84554,926,8879,5299664,5/20/2012,54
50,Commando,40,19,40,Semi - Hit,15,6,40,"Vidyut Jamwal,Pooja Chopra",Action,4/12/2013,N,99213,577,7684,3259677,1/25/2013,77
51,Creature 3D,10.58185714,38.85714286,-25.926,Losing,27,-7,-25.926,Bipasha Basu,Horror,9/12/2014,Y,147016,1541,5882,2880646,7/16/2014,58
52,D Day,45.34574167,38.16666667,0,Losing,30,0,0,"Arjun Rampal,Shruti Haasan,Irrfan Khan,Rishi Kapoor,Huma Qureshi",Action,7/19/2013,N,119142,229,1843,1968198,5/22/2013,58
53,Daawat-e-Ishq,107.0389815,36.72222222,-31.429,Losing,35,-11,-31.429,"Aditya Roy Kapoor,Parineeti Chopra,Anupam Kher",Rom-Com,9/19/2014,Y,376321,1374,8326,3906600,7/7/2014,74
54,Dabangg 2,91.93987013,50.41558442,165,Super Hit,60,99,165,"Salman Khan,Sonakshi Sinha",Action,12/21/2012,NP,117277,6506,14451,4718948,11/10/2012,41
55,Dangerous Ishhq,-62.5,21,-62.5,Flop,16,-10,-62.5,Karisma Kapoor,Romance,5/11/2012,N,33178,177,665,641564,4/5/2012,36
56,Darr @ The Mall,116.293875,28.125,-75,Flop,20,-15,-75,Jimmy Shergill,Horror,2/21/2014,Y,279622,68,648,251665,1/20/2014,32
57,David,12.398125,46.43055556,-20,Losing,5,-1,-20,"Vikram,Neil Nitin Mukesh,Vinay Virmani,Tabu,Lara Dutta,Isha Sharvani",Thriller,2/1/2013,None,860644,95,1572,859324,12/13/2012,50
58,Dedh Ishqiya,38.36769196,36.87946429,-10,Losing,30,-3,-10,"Madhuri Dixit,Naseeruddin Shah,Arhsad Warsi,Huma Qureshi",Drama,1/10/2014,Y,793319,591,2436,2333840,11/25/2013,46
59,Delhi Belly,45.5948,30.88333333,116,Hit,25,29,116,"Imran Khan,Vir Das,Kunaal Roy Kapur",Comedy,7/1/2011,NP,254239,242,1826,1768637,6/1/2011,30
60,Department,-19.13035714,32.21428571,-40,Losing,20,-8,-40," Amitabh Bachchan,Sanjay Dutt",Action / Drama,5/18/2012,None,860644,52,538,326910,4/5/2012,43
61,Desi Boyz,57.79250893,46.23571429,92.308,Semi - Hit,65,60,92.308,"Akshay Kumar,John Abraham,Deepika Padukone,Chitrangada Singh",Comedy,11/25/2011,NP,150174,134,1028,885237,10/24/2011,32
62,Dharam Sankat Mein ,164.9122639,32.34722222,-37.5,Losing,16,-6,-37.5,"Paresh Rawal,Annu Kapoor,Naseeruddin Shah",Comedy,4/10/2015,N,367,2493,231,1269860,3/17/2015,24
63,Dhobi Ghat,41.32136667,22.36666667,40,Semi - Hit,10,4,40,"Aamir Khan,Prateik Babbar",Drama,1/21/2011,NP,53998,28,474,418606,11/19/2010,63
64,Dhoom 3,71.2657381,33.8968254,124,Super Hit,125,155,124,"Aamir Khan,Katrina Kaif,Abhishek Bachchan",Action,12/20/2013,Y,4594752,10150,59555,20262919,10/30/2013,51
65,Dil Dhadakne Do,25.60139762,53.58928571,-8.14,Losing,86,-7,-8.14,"Anil Kapoor,Priyanka Chopra,Ranveer Singh,Anushka Sharma,Shefali Shah,Rahul Bose,Farhan Akhtar",Comedy / Drama,6/5/2015,Y,150000,2786,19988,4657298,4/15/2015,51
66,Dil Toh Baccha Hai Ji,51.09906154,37.44711538,21.739,Semi - Hit,23,5,21.739,"Ajay Devgn,Emraan Hashmi,Omi Vaidya,Shruti Haasan",Rom-Com,1/28/2011,NP,42331,5,80,167172,11/27/2010,62
67,Dilliwali Zaalim Girlfriend,-49.07681667,17.33333333,-79.167,Flop,12,-9.5,-79.167,"Divyendu Sharma,Pradhuman Singh,Jackie Shroff,Ira Dubey,Prachi Mishra",Rom-Com,3/20/2015,N,54733,808,4298,2321222,2/16/2015,32
68,Dirty Politics,8.755803241,28.89583333,-53.333,Flop,15,-8,-53.333,"Mallika Sherawat,Jackie Shroff,Ashutosh Rana,Anupam Kher,Om Puri,Naseeruddin Shah",Drama,3/6/2015,N,893,1040,2298,2384414,12/21/2014,75
69,Dishkiyaoon,-17.723125,37,-82.857,Flop,35,-29,-82.857,"Harman Baweja,Sunny Deol",Crime,3/28/2014,NP,950,465,3365,2398508,1/22/2014,65
70,Dolly Ki Doli,54.39193214,40.32857143,-24,Losing,25,-6,-24,"Sonam Kapoor,Pulkit Samrat,Rajkummar Rao,Varun Sharma",Rom-Com,1/23/2015,Y,83285,834,5800,2548366,12/12/2014,42
71,Don 2,48.77529167,42.93611111,33.333,Semi - Hit,75,25,33.333,"Shah Rukh Khan,Priyanka Chopra,Lara Dutta,Kunal Kapoor,Boman Irani,Om Puri",Crime,12/23/2011,Y,2605328,12,489,78105,10/24/2011,60
72,Double Dhamaal,18.6344897,30.7657967,34.286,Semi - Hit,35,12,34.286,"Sanjay Dutt,Mallika Sherawat,Kangana Ranaut,Arshad Warsi",Comedy,6/24/2011,NP,78198,56,664,797261,5/19/2011,36
73,Dum Laga Ke Haisha,131.7819167,19.7,130.769,Super Hit,13,17,130.769,"Ayushmann Khurrana,Bhumi Pednekar,Sanjay Mishra,Seema Pahwa,Sheeba Chaddha,Alka Amin",Rom-Com,2/27/2015,Y,94280,620,8196,3259537,2/5/2015,22
74,Dum Maaro Dum,3.987230952,37.68928571,-14.286,Losing,35,-5,-14.286,"Abhishek Bachchan,Bipasha Basu,Rana Daggubati,Prateik Babbar",Crime,4/22/2011,N,167280,5,34,39441,4/12/2011,10
75,Ek Main Aur Ekk Tu,56.32881111,42.47777778,11.111,Average,36,4,11.111,"Kareena Kapoor Khan,Imran Khan",Rom-Com,2/10/2012,N,736076,228,1837,1310161,11/30/2011,72
76,Ek Tha Tiger,116.5415,45.57142857,120,Super Hit,90,108,120,"Salman Khan,Katrina Kaif",Action,8/15/2012,Y,4690706,2902,14124,6432763,6/26/2012,50
77,Ek Thi Daayan,111.0553901,34.99175824,87.5,Semi - Hit,24,21,87.5,"Emraan Hashmi,Huma Qureshi,Konkona Sen Sharma,Kalki Koechlin",Horror,4/19/2013,None,0,627,3327,1874808,1/9/2013,100
78,Ek Villain,149.9301167,33.78888889,194.444,Super Hit,36,70,194.444,"Siddharth Malhotra,Ritesh Deshmukh,Shraddha Kapoor",Thriller,6/27/2014,N,229231,1100,13644,4525630,5/26/2014,32
79,Ekk Deewana Tha,-28.0953,14.2,-40,Losing,10,-4,-40,"Prateik Babbar,Amy Jackson",Romance,2/17/2012,N,161845,56,764,568971,12/23/2011,56
80,English Vinglish,166.667,19,166.667,Super Hit,15,25,166.667,Sridevi,Comedy / Drama,10/5/2012,NP,91872,612,6626,3204430,8/13/2012,53
81,Entertainment,43.38975,56.92857143,21.667,Semi - Hit,60,13,21.667,"Akshay Kumar,Mithun Chakraborty,Tamannaah Bhatia,Johnny Lever",Comedy,8/8/2014,Y,1504695,2850,20522,6340468,5/19/2014,81
82,F.A.L.T.U.,28.2552125,28.675,15,Average,20,3,15,"Arshad Warsi,Ritesh Deshmukh,Jackky Bhagnani,Puja Gupta",Comedy,4/1/2011,Y,848482,42,182,332412,2/8/2011,52
83,Ferrari Ki Sawaari,31.48608333,29.08333333,190,Super Hit,10,19,190,"Sharman Joshi,Boman Irani",Comedy,6/15/2012,NP,6041,30,243,192934,5/8/2012,38
84,Filmistaan,-46.66675,13,-40,Losing,10,-4,-40,"Sharib Hashmi,Inaamulhaq",Comedy,6/6/2014,NP,815,173,1611,989821,4/16/2014,51
85,Finding Fanny,93.49795833,33.30166667,140,Super Hit,15,21,140,"Deepika Padukone,Arjun Kapoor,Pankaj Kapoor,Naseeruddin Shah,Dimple Kapadia",Comedy,9/12/2014,N,48092,2752,13033,6145833,7/8/2014,66
86,Force,91.40848413,30.14285714,116.667,Hit,12,14,116.667,"John Abraham,Genelia D'Souza,Raj Babbar",Action,9/30/2011,NP,199,22,319,329209,8/17/2011,44
87,Fugly,10.32346875,22.78125,-25,Losing,16,-4,-25,"Jimmy Shergill,Mohit Marwah,Kiara Advani,Vijender Singh",Drama,6/13/2014,NP,1363,556,2964,2343900,4/7/2014,67
88,Fukrey,357.9818,44.43333333,640,Blockbuster,5,32,640,"Pulkit Samrat,Ali Fazal,Manjot Singh,Priya Anand,Richa Chadda",Comedy,6/14/2013,Y,789303,51,276,106325,4/12/2013,63
