,Movie,Expected.ROI.pct,Expected.Bgt,ROI.pct,Verdict,Budget,ROI_Cr,pct_ROI,Cast,Genre,Release_Date,Verified.FB.Page,FB.Following,Trailer.Thumbs.Down,Trailer.Thumbs.Up,Youtube.Trailer.hits,Trailer.Date,Days.between.Releases
181,O Teri,13.507875,25,-76.562,Flop,16,-12.25,-76.562,"Pulkit Samrat,Bilal Amrohi,Sarah Jane Dias,Mandira Bedi",Comedy,3/28/2014,Y,320050,278,3003,1511883,1/23/2014,64
182,OMG Oh My God!,65.07466667,39.69047619,310,Blockbuster,20,62,310,"Akshay Kumar,Paresh Rawal",Comedy / Drama,9/28/2012,N,155683,207,1405,1010293,8/16/2012,43
183,Once Upon A Time In Mumbaai Dobaara!,69.92172718,34.98461538,103.125,Hit,32,33,103.125,"Ajay Devgn,Emraan Hashmi,Kangana Ranaut,Prachi Desai,Randeep Hooda",Drama,8/15/2013,N,1436183,2835,9264,3122932,5/28/2013,79
184,One By Two,-6.30315,30.8,-80,Flop,15,-12,-80,"Abhay Deol,Preeti Desai",Rom-Com,1/31/2014,Y,81058,212,1082,1017884,12/18/2013,44
185,Paan Singh Tomar,70.211375,36.25,233.333,Super Hit,4.5,10.5,233.333,Irrfan Khan,Drama,3/2/2012,N,24610,22,603,446421,2/7/2012,24
186,Patiala House,33.07044444,39.97420635,23.077,Semi - Hit,26,6,23.077,"Akshay Kumar,Anushka Sharma,Rishi Kapoor",Sports ,2/11/2011,NP,226617,60,233,436618,12/23/2010,50
187,Phata Poster Nikhla Hero,38.5,41.2,-5,Losing,40,-2,-5,Shahid Kapoor,Comedy / Action,9/20/2013,N,69478,1411,10797,5262921,7/14/2013,68
188,Piku,78.57678819,40.90138889,125.714,Super Hit,35,44,125.714,"Amitabh Bachchan,Deepika Padukone,Irrfan Khan,Moushumi Chatterjee",Drama,5/8/2015,Y,303547,1530,18980,5521602,4/13/2015,25
189,Pizza 3D,-46.94416667,20.16666667,-73.333,Flop,15,-11,-73.333," Akshay Oberoi,Parvathy Omanakuttan,Dipannita Sharma",Horror,7/18/2014,None,0,159,1135,839923,5/22/2014,57
190,Players,13.95134048,39.61428571,-35.556,Losing,45,-16,-35.556,"Abhishek Bachchan,Sonam Kapoor,Bipasha Basu,Neil Nitin Mukesh,Bobby Deol",Crime,1/6/2012,N,380141,236,618,814656,11/3/2011,64
191,Policegiri,-10.07301587,33.80952381,-36,Losing,25,-9,-36,"Sanjay Dutt,Prakash Raj,Prachi Desai",Comedy,7/5/2013,N,146680,437,1743,1815639,5/28/2013,38
192,Prague,-50,25,-50,Flop,2,-1,-50,"Chandan Roy Sanyal,Elena Kazan",Drama,9/27/2013,NP,25,13,19,34520,12/4/2013,-68
193,Purani Jeans,-93.333,19,-93.333,Flop,15,-14,-93.333,"Tanuj Virwani,Aditya Seal,Izabelle Leite",Rom-Com,5/2/2014,NP,2879,229,825,1538011,3/20/2014,43
194,Pyaar Ka Punchnama,42.31488889,52.88888889,57.143,Semi - Hit,7,4,57.143,"Kartik Tiwari,Raayo S Bakhirta,Divyendu Sharma",Comedy / Drama,5/20/2011,Y,245351,4,240,232531,4/14/2011,36
195,Queen,98.28062821,33.35897436,388,Blockbuster,12.5,48.5,388,"Kangana Ranaut,Lisa Haydon",Comedy,3/7/2014,Y,646154,5371,442,2928984,12/20/2013,77
196,R… Rajkumar,44.61322727,47.87272727,60,Semi - Hit,40,24,60,"Shahid Kapoor,Sonakshi Sinha",Action,12/6/2013,NP,18770,2819,60161,6150177,10/1/2013,66
197,Ra.One,44.48362646,41.87089947,19.259,Average,135,26,19.259,"Shah Rukh Khan,Arjun Rampal,Kareena Kapoor Khan",Action / Sci Fi,10/26/2011,NP,675021,381,1480,1654446,10/13/2011,13
198,Raanjhanaa,6.86537619,39.93809524,80,Semi - Hit,35,28,80,"Dhanush,Sonam Kapoor,Abhay Deol",Romance,6/21/2013,NP,88314,1033,12586,5559246,4/23/2013,59
199,Raaz 3,59.78023443,33.35409035,180,Super Hit,25,45,180,"Emraan Hashmi,Bipasha Basu,Esha Gupta",Horror,9/7/2012,N,546483,709,3592,3407955,7/31/2012,38
200,Race 2,64.59979762,48.74642857,70,Semi - Hit,60,42,70,"Anil Kapoor,Saif Ali Khan,Deepika Padukone,John Abraham,Jacqueline Fernandez,Ameesha Patel",Action,1/25/2013,NP,85216,2179,12940,7865048,11/12/2012,74
201,Ragini MMS,362.0459,20.8,592.308,Blockbuster,1.3,7.7,592.308,"Rajkummar Rao,Kainaz Motivala",Horror,5/13/2011,NP,31591,41,15,75492,4/21/2011,22
202,Ragini MMS 2,136.109,43.5,161.111,Super Hit,18,29,161.111,Sunny Leone,Horror,3/21/2014,N,857257,2719,6813,5421650,2/2/2014,47
203,Raja Natwarlal,97.72294078,28.30647131,-14.286,Losing,35,-5,-14.286,"Emraan Hashmi,Paresh Rawal,Kay Kay Menon",Thriller,8/29/2014,NP,8775,1157,8218,4051325,7/18/2014,42
204,Rajjo,82.28592308,30.38461538,-83.333,Flop,12,-10,-83.333,Kangana Ranaut,Drama,11/15/2013,N,127636,1088,1617,1737162,9/26/2013,50
205,Ramaiya Vastavaiya,7.231,40.125,3.333,Average,30,1,3.333,"Girish Kumar,Shruti Haasan",Rom-Com,7/19/2013,N,170193,710,4290,3910410,4/25/2013,85
206,Ramleela,80.50241667,46.65,214.286,Super Hit,35,75,214.286,"Ranveer Singh,Deepika Padukone",Romance,11/15/2013,N,40177,4419,22137,9724764,9/16/2013,60
207,Rang Rasiya,16.7099,22.5,-58.333,Flop,12,-7,-58.333,"Randeep Hooda,Nandana Sen",Drama,11/7/2014,Y,38151,175,730,1129472,9/25/2014,43
208,Rangrezz,62.11958333,26.5,-60,Flop,15,-9,-60,"Jackky Bhagnani,Priya Anand,Rajpal Yadav",Drama,3/21/2013,NP,1646,70,171,319084,2/4/2013,45
209,Rascals,54.47015985,37.6007326,-22.222,Losing,45,-10,-22.222,"Ajay Devgn,Sanjay Dutt,Kangana Ranaut,Lisa Haydon,Arjun Rampal",Comedy,10/6/2011,NP,55617,47,220,362317,8/10/2011,57
210,Ready,133.1532857,46.28571429,200,Super Hit,40,80,200,Salman Khan,Action,6/3/2011,NP,176167,303,1528,1839961,4/14/2011,50
211,Revolver Rani,-4.319269231,32.65865385,-61.538,Flop,26,-16,-61.538,"Kangana Ranaut,Vir Das,Piyush Mishra,Zakir Hussain",Drama,4/25/2014,Y,120009,394,3013,1745467,3/5/2014,51
212,Roar,18.571,62,18.571,Average,7,1.3,18.571,"Abhinav Shukla,Himarsha Venkatsamy,Achint Kaur,Subrat Dutta,Nora Fatehi,Ali Quli Mirza,Aadil Chahal,Varinder Singh,Ghuman",Action,10/31/2014,Y,314003,78,522,282946,7/31/2014,92
213,Rockstar,50.33042857,47.96428571,80,Semi - Hit,60,48,80,"Ranbir Kapoor,Nargis Fakhri",Drama,11/11/2011,NP,26112,367,3146,1986285,8/30/2011,73
214,Rowdy Rathore,63.55897727,52.62987013,191.111,Super Hit,45,86,191.111,"Akshay Kumar,Sonakshi Sinha",Action,6/1/2012,NP,388221,1655,5407,3519138,4/2/2012,60
215,Roy ,62.9762381,38.76190476,12.5,Average,40,5,12.5,"Arjun Rampal,Jacqueline Fernandez,Ranbir Kapoor",Thriller,2/13/2015,Y,157896,3239,19013,7690714,12/16/2014,59
216,Rush,34.37942308,29.51923077,-86.667,Flop,30,-26,-86.667,"Emraan Hashmi,Neha Dhupia",Thriller,10/26/2012,NP,471,44,241,182595,9/28/2012,28
217,Saheb Biwi Aur Gangster,140.4600583,31.20833333,400,Blockbuster,4,16,400,"Jimmy Shergill,Mahi Gill,Randeep Hooda",Thriller,9/30/2011,N,1654,0,5,6298,3/29/2012,-181
218,Saheb Biwi Aur Gangster Returns,91.9041875,28.55208333,26.667,Semi - Hit,15,4,26.667,"Jimmy Shergill,Mahi Gill,Irrfan Khan,Soha Ali Khan",Drama,3/8/2013,NP,1150,190,1042,1200536,1/31/2013,36
219,Samrat & Co.,-86.667,19,-86.667,Flop,15,-13,-86.667, Rajeev Khandelwal,Crime,4/25/2014,NP,1675,180,531,371613,3/18/2014,38
220,Satya 2,-86.667,19,-86.667,Flop,15,-13,-86.667,Puneet Singh Ratn,Crime,11/8/2013,N,109740,27,90,115355,9/30/2013,39
221,Satyagraha,46.00113333,44.03703704,36,Semi - Hit,50,18,36,"Amitabh Bachchan,Kareena Kapoor Khan,Ajay Devgn",Drama,8/30/2013,N,6396,399,2754,1437733,6/26/2013,65
222,Shaadi Ke Side Effects,128.494,46.16666667,-20.93,Losing,43,-9,-20.93,"Farhan Akhtar,Vidya Balan",Rom-Com,2/28/2014,N,12075,1466,9028,4593905,10/28/2013,123
223,Shahid,91.00648889,54.86666667,-37.008,Losing,6.35,-2.35,-37.008,"Rajkummar Rao,Tigmanshu Dhulia,K K Menon",Biopic,10/18/2013,None,0,414,3217,1203294,9/20/2013,28
224,Shaitan,10.58872619,15.1547619,-27.273,Losing,11,-3,-27.273,"Rajit Kapoor,Rajeev Khandelwal,Kalki Koechlin,Pawan Malhotra",Thriller,6/10/2011,NP,23860,41,279,383720,4/20/2011,51
225,Shamitabh ,-8.383574074,44.68518519,-51.111,Flop,45,-23,-51.111,"Amitabh Bachchan,Dhanush,Akshara",Drama,1/30/2015,NP,2152,1270,12292,2105208,1/6/2015,24
226,Shanghai,61.5084044,31.10604396,10,Average,20,2,10,"Abhay Deol,Emraan Hashmi,Kalki Koechlin,Prosenjit Chatterjee",Drama,6/8/2012,N,123887,58,1134,547862,4/6/2012,63
227,Shirin Farhad Ki Toh Nikal Padi,10.23625,19.91666667,-8.333,Losing,12,-1,-8.333,"Farah Khan,Boman Irani",Rom-Com,8/24/2012,NP,1438,217,1288,837831,5/29/2012,87
228,Sholay 3D,41.59122222,32.27777778,-45,Losing,20,-9,-45,"Amitabh Bachchan,Dharmendra",Drama,1/3/2014,N,67386,288,2119,1009039,11/7/2013,57
229,Shootout At Wadala,67.31884604,41.87843407,29.167,Semi - Hit,48,14,29.167,"John Abraham,Anil Kapoor,Kangana Ranaut,Sonu Sood,Manoj Bajpai,Ronit Roy,Mahesh Manjrekar,Tusshar Kapoor",Action / Drama,5/3/2013,N,669085,147,900,843763,1/27/2013,96
230,Shor In The City,36.29554762,29.57142857,33.333,Semi - Hit,3,1,33.333,"Sendhil Ramamurthy,Preeti Desai,Tusshar Kapoor",Crime,4/29/2011,NP,7466,1,35,65126,3/29/2011,31
231,Shuddh Desi Romance,60.65983333,35.05555556,56.667,Semi - Hit,30,17,56.667,"Sushant Singh Rajput,Parineeti Chopra,Vaani Kapoor",Rom-Com,9/6/2013,N,803,1019,5617,3725485,7/11/2013,57
232,Singh Saab The Great,47.41075,33,12.5,Average,32,4,12.5,Sunny Deol,Drama,11/22/2013,NP,16743,108,901,245441,10/28/2013,25
233,Singham,72.7694,48,400,Blockbuster,20,80,400,Ajay Devgn,Action,7/22/2011,NP,510094,502,4006,3334539,6/3/2011,49
234,Singham Returns,91.93987013,50.41558442,60.227,Semi - Hit,88,53,60.227,"Salman Khan,Sonakshi Sinha",Action,8/15/2014,NP,15044,2908,20049,8290039,7/11/2014,35
235,Son Of Sardaar,61.74792727,51.27272727,90.909,Semi - Hit,55,50,90.909,"Ajay Devgn,Sonakshi Sinha",Comedy,11/13/2012,Y,262272,51,127,49596,7/19/2012,117
236,Special Chabbis (26),74.60120486,42.64732143,169.231,Super Hit,26,44,169.231,"Akshay Kumar,Anupam Kher,Jimmy Shergill,Manoj Bajpai",Thriller,2/8/2013,NP,36058,576,6292,1859738,12/20/2012,50
237,Speedy Singhs,-39.83318519,36.83333333,-84,Flop,25,-21,-84,"Vinay Virmani,Camilla Belle,Anupam Kher",Sports,9/23/2011,NP,2952,82,1732,1001584,8/18/2011,36
238,Student Of The Year,96.703,40.80555556,55.556,Semi - Hit,45,25,55.556,"Siddharth Malhotra,Varun Dhawan,Alia Bhatt",Drama,10/19/2012,N,3680889,2967,6009,4520945,8/2/2012,78
239,Super Nani,-6.083222222,49.83333333,-37.5,Losing,8,-3,-37.5,"Rekha,Sharman Joshi,Randhir Kapoor,Anupam Kher",Comedy,10/31/2014,Y,58430,282,1574,875773,9/19/2014,42
240,Table no. 21,16.37038889,17.33333333,25,Semi - Hit,12,3,25,"Paresh Rawal,Rajeev Khandelwal,Tena Desae",Thriller,1/4/2013,NP,10547,147,1180,1167853,11/22/2012,43
241,Talaash,86.65410185,29.71296296,132.5,Super Hit,40,53,132.5,"Aamir Khan,Rani Mukherjee,Kareena Kapoor Khan",Thriller,11/30/2012,Y,427834,1779,6700,3795554,9/13/2012,78
242,Tanu Weds Manu,66.38096154,26.69230769,153.333,Super Hit,15,23,153.333,"Kangana Ranaut,R Madhavan",Rom-Com,2/25/2011,N,168758,9,55,165350,12/24/2010,63
243,Tanu Weds Manu Returns,284.7284495,33.62740385,470.167,Blockbuster,30,141.05,470.167,"Kangana Ranaut,R. Madhavan,Jimmy Shergill,Deepak Dobriyal",Comedy / Drama,5/22/2015,Y,379000,1387,24290,7748874,4/14/2015,38
244,Tere Naal Love Ho Gaya,119.16675,6.5,120,Super Hit,10,12,120,"Reitesh Deshmukh,Genelia D'Souza",Rom-Com,2/24/2012,NP,63736,123,1505,1213496,12/22/2011,64
245,Teri Meri Kahaani,57.2251,42.6,-6.667,Losing,30,-2,-6.667,"Shahid Kapoor,Priyanka Chopra",Romance,6/22/2012,NP,31469,705,4810,2496887,4/5/2012,78
246,Tevar ,86.15269697,47.28219697,-35,Losing,60,-21,-35,"Arjun Kapoor,Sonakshi Sinha,Raj Babbar,Manoj Bajpai",Action,1/16/2015,NP,5065,1739,11273,6137326,11/10/2014,67
247,Tezz,16.87226044,36.1025641,-12.5,Losing,40,-5,-12.5,"Anil Kapoor,Kangana Ranaut,Zayed Khan,Mallika Sherawat,Sameera Reddy,Boman Irani,Ajay Devgn",Drama,4/27/2012,NP,31500,321,2372,2527689,1/4/2012,114
248,Thank You,18.69940051,48.34693878,-20.69,Losing,58,-12,-20.69,"Akshay Kumar,Sunil Shetty,Sonam Kapoor,Bobby Deol,Rimi Sen,Celina Jaitley,Irrfan Khan",Comedy,4/8/2011,NP,1744,128,623,1117064,2/25/2011,42
249,The Attacks Of 26/11,-25.55566667,34.66666667,-60,Flop,30,-18,-60,"Nana Patekar,Sanjeev Jaiswal",Drama,3/1/2013,NP,398,354,1946,1081140,1/17/2013,43
250,The Dirty Picture,120.0305285,29.61527015,555.556,Blockbuster,18,100,555.556,"Vidya Balan,Naseeruddin Shah,Tusshar Kapoor,Emraan Hashmi",Drama,12/2/2011,NP,463479,226,1084,2257031,8/30/2011,94
251,The Lunchbox,70.211375,36.25,120,Super Hit,10,12,120,Irrfan Khan,Drama,9/20/2013,N,14135,288,4092,1082453,8/14/2013,37
252,The Shaukeens,117.0950278,38.58333333,-22.952,Losing,42,-9.64,-22.952,"Anupam Kher,Annu Kapoor,Piyush Mishra,Lisa Haydon",Comedy,11/7/2014,Y,94707,560,4374,2375495,9/27/2014,41
253,The Xpose,20,19,20,Average,15,3,20,"Himesh Reshammiya,Zoya Afroz,Sonali Raut,Honey Singh",Thriller,5/16/2014,Y,664183,1293,3514,3708362,4/2/2014,44
254,Total Siyapaa,174.502475,41,-64.706,Flop,17,-11,-64.706,"Ali Zafar,Yami Gautam",Comedy,3/7/2014,NP,3577,555,3675,1759798,11/25/2013,102
255,Ugly,177.0833333,45.5,211.111,Super Hit,4.5,9.5,211.111,"Rahul Bhat,Ronit Roy",Thriller,12/19/2014,Y,53773,325,3423,1806929,12/15/2014,4
256,Ungli,53.89291385,28.48461538,26.667,Semi - Hit,15,4,26.667,"Emraan Hashmi,Randeep Hooda,Kangana Ranaut,Neha Dhupia, Sanjay Dutt",Crime,11/28/2014,Y,100826,492,6919,2746986,9/29/2014,60
257,Vicky Donor,310.6453611,37.06666667,1200,Blockbuster,5,60,1200,"Ayushmann Khurrana,Yami Gautam,Annu Kapoor",Comedy,4/20/2012,NP,88089,247,3448,2086366,3/8/2012,43
258,War Chhod Na Yaar,-9.801444444,21.88888889,-50,Flop,14,-7,-50,"Sharman Joshi,Soha Ali Khan,Javed Jaffrey",Comedy,10/11/2013,N,27962,179,894,307298,9/19/2013,22
259,Warning 3D,-8.71425,48,-40,Losing,5,-2,-40,"Santosh Barmola,Suzana Rodrigues,Manjari Fadnis,Varun Sharma",Action,9/27/2013,None,81,224,1518,307298,8/21/2013,37
260,Welcome To Karachi,-37.5604375,25.875,-60,Flop,20,-12,-60,"Arshad Warsi,Jackky Bhagnani,Lauren Gottlieb,Dalip Tahil",Comedy,5/28/2015,N,6567,1077,11015,4239070,4/13/2015,45
261,Yaariyan,110.526,24,110.526,Hit,19,21,110.526,"Himansh Kohli,Rakul Preet,Nicole Faria,Dev Sharma",Comedy,1/10/2014,Y,3147064,767,4852,3331807,10/30/2013,72
262,Yamla Pagla Deewana,56.67197222,32.91666667,175,Super Hit,20,35,175,"Sunny Deol,Bobby Deol,Dharmendra",Comedy,1/14/2011,N,146693,9,118,215922,12/15/2010,30
263,Yamla Pagla Deewana 2,56.67197222,32.91666667,85,Semi - Hit,20,17,85,"Sunny Deol,Bobby Deol,Dharmendra",Comedy,6/7/2013,N,3001,684,5460,2785551,3/27/2013,72
264,Yeh Hai Bakrapur,-8.888666667,37.16666667,-33.333,Losing,3,-1,-33.333,"Anshuman Jha,Asif Basra,Suruchi Aulakh",Comedy,5/9/2014,Y,36847,924,758,1257546,3/2/2014,68
265,Yeh Jawaani Hai Deewani,130.7514405,41.21190476,171.429,Super Hit,70,120,171.429,"Ranbir Kapoor,Deepika Padukone,Kalki Koechlin,Aditya Roy Kapoor",Comedy / Drama,5/31/2013,N,2053316,1664,14230,5265692,3/19/2013,73
266,Yeh Saali Zindagi,33.01048958,46.27083333,50,Semi - Hit,8,4,50,"Irrfan Khan,Arunoday Singh,Chitrangada Singh,Aditi Rao Hydari",Thriller,2/4/2011,N,30302,9,9,13146,2/8/2011,-4
267,Youngistaan,-21.81808333,29.22222222,-69.565,Flop,23,-16,-69.565,"Jackky Bhagnani,Neha Sharma,Farooq Sheikh",Comedy / Drama,3/28/2014,NP,36047,177,1085,604598,1/31/2014,56
268,Zanjeer,75.9502,44,-75,Flop,60,-45,-75,Priyanka Chopra,Action,9/6/2013,N,12426,81,462,329080,7/4/2013,64
269,Zed Plus,-68.4631,48.2,-90.6,Flop,5,-4.53,-90.6," Mona Singh,Mukesh Tiwari,Kulbhushan Kharbanda,Sanjay Mishra,Shivani Tanksale",Drama,11/28/2014,Y,45389,69,660,528520,10/29/2014,30
270,Zid,-6.667,19,-6.667,Losing,15,-1,-6.667,"Karanvir Sharma,Mannara,Shraddha Das",Thriller,11/28/2014,Y,59909,62,186,258195,11/21/2014,7
271,Zila Ghaziabad,8.829345238,33.80952381,-55.556,Flop,36,-20,-55.556,"Sanjay Dutt,Arshad Warsi,Vivek Oberoi",Thriller,2/22/2013,NP,1193,621,1763,1566604,1/10/2013,43
272,Zindagi Na Milegi Dobara,69.94354714,41.04857143,63.636,Semi - Hit,55,35,63.636,"Hrithik Roshan,Abhay Deol,Farhan Akhtar,Katrina Kaif,Kalki Koechlin",Comedy / Drama,7/15/2011,Y,2464050,82,801,650952,5/31/2011,45
